archive,name,bytes,width,height,mips,format
textures.xdb0,textures/act/act_corp_monolit_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_corp_monolit_bump.thm,138,,,,
textures.xdb0,textures/act/act_corp_specnaz.dds,87528,256,512,10,DXT1
textures.xdb0,textures/act/act_corp_specnaz.thm,163,,,,
textures.xdb0,textures/act/act_corp_specnaz_bump#.dds,174928,256,512,10,DXT5
textures.xdb0,textures/act/act_corp_specnaz_bump#.thm,138,,,,
textures.xdb0,textures/act/act_corp_specnaz_bump.dds,699216,512,1024,11,DXT5
textures.xdb0,textures/act/act_corp_specnaz_bump.thm,138,,,,
textures.xdb0,textures/act/act_corp_stalker.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_corp_stalker.thm,163,,,,
textures.xdb0,textures/act/act_corp_stalker_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_corp_stalker_bump#.thm,138,,,,
textures.xdb0,textures/act/act_corp_stalker_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_corp_stalker_bump.thm,138,,,,
textures.xdb0,textures/act/act_crow.dds,131200,512,512,0,DXT1
textures.xdb0,textures/act/act_crow.thm,138,,,,
textures.xdb0,textures/act/act_cskysun2.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_cskysun2.thm,168,,,,
textures.xdb0,textures/act/act_dog_noy_0.dds,131200,512,512,0,DXT1
textures.xdb0,textures/act/act_dog_noy_0.thm,180,,,,
textures.xdb0,textures/act/act_dog_red.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_dog_red.thm,178,,,,
textures.xdb0,textures/act/act_dog_red_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dog_red_bump#.thm,138,,,,
textures.xdb0,textures/act/act_dog_red_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dog_red_bump.thm,158,,,,
textures.xdb0,textures/act/act_dog_red_teeth.dds,11088,128,64,8,DXT5
textures.xdb0,textures/act/act_dog_red_teeth.thm,164,,,,
textures.xdb0,textures/act/act_dog_red_teeth_bump#.dds,11088,128,64,8,DXT5
textures.xdb0,textures/act/act_dog_red_teeth_bump#.thm,138,,,,
textures.xdb0,textures/act/act_dog_red_teeth_bump.dds,11088,128,64,8,DXT5
textures.xdb0,textures/act/act_dog_red_teeth_bump.thm,138,,,,
textures.xdb0,textures/act/act_dogs_big.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_dogs_big.thm,179,,,,
textures.xdb0,textures/act/act_dogs_big_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_big_bump#.thm,138,,,,
textures.xdb0,textures/act/act_dogs_big_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_big_bump.thm,159,,,,
textures.xdb0,textures/act/act_dogs_black.dds,174848,512,512,6,DXT1
textures.xdb0,textures/act/act_dogs_black.thm,181,,,,
textures.xdb0,textures/act/act_dogs_brown.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_dogs_brown.thm,181,,,,
textures.xdb0,textures/act/act_dogs_brown_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_brown_bump#.thm,138,,,,
textures.xdb0,textures/act/act_dogs_brown_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_brown_bump.thm,161,,,,
textures.xdb0,textures/act/act_dogs_brown_soc.dds,174848,512,512,6,DXT1
textures.xdb0,textures/act/act_dogs_brown_soc.thm,185,,,,
textures.xdb0,textures/act/act_dogs_brown_soc_bump#.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_dogs_brown_soc_bump#.thm,138,,,,
textures.xdb0,textures/act/act_dogs_brown_soc_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_brown_soc_bump.thm,138,,,,
textures.xdb0,textures/act/act_dogs_bulterer.dds,174904,512,512,10,DXT1
textures.xdb0,textures/act/act_dogs_bulterer.thm,184,,,,
textures.xdb0,textures/act/act_dogs_bulterer_bump#.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_bulterer_bump#.thm,138,,,,
textures.xdb0,textures/act/act_dogs_bulterer_bump.dds,349680,512,512,10,DXT5
textures.xdb0,textures/act/act_dogs_bulterer_bump.thm,164,,,,
textures.xdb0,textures/act/act_dol2aold.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_dol2aold.thm,165,,,,
textures.xdb0,textures/act/act_dolg2old.dds,699008,1024,1024,6,DXT1
textures.xdb0,textures/act/act_dolg2old.thm,165,,,,
textures.xdb0,textures/act/act_ecologt.dds,699192,1024,1024,11,DXT1
textures.xdb0,textures/act/act_ecologt.thm,158,,,,
textures.xdb0,textures/act/act_ecologt_bump#.dds,87536,256,256,9,DXT5
textures.xdb0,textures/act/act_ecologt_bump.dds,1398256,1024,1024,11,DXT5
textures.xdb0,textures/act/act_ekolog.dds,699192,1024,1024,11,DXT1
textures.xdb0,textures/act/act_ekolog.thm,164,,,,
textures.xdb0,textures/act/act_ekologt.dds,699192,1024,1024,11,DXT1
textures.xdb0,textures/act/act_ekologt.thm,164,,,,
textures.xdb0,textures/act/act_exoskeleton.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_exoskeleton.thm,162,,,,
textures.xdb0,textures/act/act_exoskeleton_bump#.dds,87488,256,256,6,DXT5
textures.xdb0,textures/act/act_exoskeleton_bump.dds,349568,512,512,6,DXT5
textures.xdb0,textures/act/act_exoskeleton_bump.thm,138,,,,
textures.xdb0,textures/act/act_face_01.dds,349568,1024,512,6,DXT1
textures.xdb0,textures/act/act_face_01.thm,158,,,,
textures.xdb0,textures/act/act_face_01_bump#.dds,699008,1024,512,6,DXT5
textures.xdb0,textures/act/act_face_01_bump#.thm,23035,,,,
textures.xdb0,textures/act/act_face_01_bump.dds,699008,1024,512,6,DXT5
textures.xdb0,textures/act/act_face_01_bump.thm,138,,,,
textures.xdb0,textures/act/act_face_02.dds,349672,1024,512,11,DXT1
textures.xdb0,textures/act/act_face_02.thm,158,,,,
textures.xdb0,textures/act/act_face_02_bump#.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_face_02_bump.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_face_02_bump.thm,138,,,,
textures.xdb0,textures/act/act_face_04.dds,349568,1024,512,6,DXT1
textures.xdb0,textures/act/act_face_04.thm,158,,,,
textures.xdb0,textures/act/act_face_04_bump#.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_face_04_bump#.thm,138,,,,
textures.xdb0,textures/act/act_face_04_bump.dds,699216,1024,512,11,DXT5
textures.xdb0,textures/act/act_face_04_bump.thm,138,,,,
textures.xdb0,textures/act/act_face_10.dds,174848,512,512,6,DXT1
textures.xdb0,textures/act/act_face_10.thm,158,,,,
